Timestamp,Symbol,Open,High,Low,Close,Volume,Interval
2021-04-30 19:59:00,QQQ,333.435,333.492,333.395,333.464,3465,1min
2021-04-30 19:58:00,QQQ,333.416,333.492,333.376,333.464,371,1min
2021-04-30 19:54:00,QQQ,333.435,333.472,333.395,333.444,390,1min
2021-04-30 19:53:00,QQQ,333.435,333.472,333.395,333.444,226,1min
2021-04-30 19:52:00,QQQ,333.435,333.472,333.395,333.444,1000,1min
2021-04-30 19:51:00,QQQ,333.435,333.472,333.395,333.444,1000,1min
2021-04-30 19:50:00,QQQ,333.416,333.452,333.376,333.424,1129,1min
2021-04-30 19:49:00,QQQ,333.356,333.393,333.316,333.365,375,1min
2021-04-30 19:48:00,QQQ,333.376,333.413,333.336,333.385,152,1min
2021-04-30 19:44:00,QQQ,333.416,333.452,333.366,333.415,1565,1min
2021-04-30 19:30:00,QQQ,333.445,333.482,333.405,333.454,342,1min
2021-04-30 19:29:00,QQQ,333.445,333.482,333.405,333.454,100,1min
2021-04-30 19:28:00,QQQ,333.435,333.472,333.395,333.444,100,1min
2021-04-30 19:25:00,QQQ,333.435,333.472,333.395,333.444,275,1min
2021-04-30 19:23:00,QQQ,333.435,333.472,333.395,333.444,100,1min
2021-04-30 19:21:00,QQQ,333.356,333.393,333.316,333.365,902,1min
2021-04-30 19:18:00,QQQ,333.396,333.443,333.356,333.415,530,1min
2021-04-30 19:07:00,QQQ,333.406,333.443,333.366,333.415,498,1min
2021-04-30 19:05:00,QQQ,333.406,333.443,333.366,333.415,100,1min
2021-04-30 19:03:00,QQQ,333.425,333.462,333.385,333.434,100,1min
2021-04-30 19:02:00,QQQ,333.416,333.452,333.376,333.424,100,1min
2021-04-30 18:56:00,QQQ,333.416,333.452,333.366,333.424,2025,1min
2021-04-30 18:53:00,QQQ,333.416,333.452,333.376,333.424,881,1min
2021-04-30 18:52:00,QQQ,333.425,333.462,333.385,333.434,119,1min
2021-04-30 18:50:00,QQQ,333.416,333.452,333.376,333.424,880,1min
2021-04-30 18:49:00,QQQ,333.416,333.452,333.376,333.424,300,1min
2021-04-30 18:47:00,QQQ,333.406,333.472,333.366,333.444,1122,1min
2021-04-30 18:43:00,QQQ,333.504,333.541,333.464,333.513,971,1min
2021-04-30 18:39:00,QQQ,333.435,333.482,333.395,333.454,2391,1min
2021-04-30 18:32:00,QQQ,333.347,333.383,333.306,333.355,436,1min
2021-04-30 18:22:00,QQQ,333.445,333.482,333.405,333.454,297,1min
2021-04-30 18:19:00,QQQ,333.268,333.305,333.228,333.277,390,1min
2021-04-30 18:18:00,QQQ,333.435,333.472,333.395,333.444,1000,1min
2021-04-30 18:17:00,QQQ,333.356,333.393,333.168,333.217,1343,1min
2021-04-30 18:14:00,QQQ,333.406,333.443,333.366,333.415,254,1min
2021-04-30 18:10:00,QQQ,333.386,333.423,333.346,333.395,407,1min
2021-04-30 18:09:00,QQQ,333.435,333.472,333.395,333.444,300,1min
2021-04-30 17:57:00,QQQ,333.416,333.452,333.376,333.424,175,1min
2021-04-30 17:55:00,QQQ,333.416,333.462,333.306,333.424,10131,1min
2021-04-30 17:53:00,QQQ,333.455,333.492,333.415,333.464,100,1min
2021-04-30 17:52:00,QQQ,333.475,333.512,333.435,333.484,500,1min
2021-04-30 17:47:00,QQQ,333.475,333.522,333.435,333.493,200,1min
2021-04-30 17:46:00,QQQ,333.465,333.502,333.425,333.474,470,1min
2021-04-30 17:43:00,QQQ,333.347,333.502,333.306,333.454,70200,1min
2021-04-30 17:40:00,QQQ,333.416,333.452,333.376,333.424,200,1min
2021-04-30 17:38:00,QQQ,333.416,333.452,333.376,333.424,403,1min
2021-04-30 17:35:00,QQQ,333.406,333.452,333.366,333.424,300,1min
2021-04-30 17:34:00,QQQ,333.465,333.502,333.405,333.454,550,1min
2021-04-30 17:33:00,QQQ,333.465,333.502,333.425,333.474,100,1min
2021-04-30 17:26:00,QQQ,333.416,333.541,333.376,333.513,1902,1min
2021-04-30 17:24:00,QQQ,333.396,333.433,333.356,333.405,100,1min
2021-04-30 17:22:00,QQQ,333.347,333.383,333.306,333.355,136,1min
2021-04-30 17:21:00,QQQ,333.396,333.433,333.356,333.405,1000,1min
2021-04-30 17:20:00,QQQ,333.406,333.443,333.366,333.415,300,1min
2021-04-30 17:19:00,QQQ,333.445,333.482,333.366,333.415,3905,1min
2021-04-30 17:18:00,QQQ,333.435,333.472,333.395,333.444,285,1min
2021-04-30 17:17:00,QQQ,333.455,333.492,333.366,333.415,200,1min
2021-04-30 17:16:00,QQQ,333.455,333.492,333.366,333.415,2318,1min
2021-04-30 17:13:00,QQQ,333.455,333.492,333.326,333.464,2789,1min
2021-04-30 17:10:00,QQQ,333.455,333.492,333.415,333.464,718,1min
2021-04-30 17:09:00,QQQ,333.485,333.522,333.445,333.493,100,1min
2021-04-30 17:08:00,QQQ,333.455,333.492,333.415,333.464,283,1min
2021-04-30 17:06:00,QQQ,333.504,333.541,333.464,333.513,301,1min
2021-04-30 17:04:00,QQQ,333.406,333.541,333.366,333.513,601,1min
2021-04-30 17:02:00,QQQ,333.356,333.393,333.316,333.365,100,1min
2021-04-30 17:01:00,QQQ,333.514,333.551,333.474,333.523,2000,1min
2021-04-30 17:00:00,QQQ,333.406,333.443,333.237,333.355,577,1min
2021-04-30 16:59:00,QQQ,333.386,333.443,333.306,333.385,5301,1min
2021-04-30 16:58:00,QQQ,333.485,333.522,333.366,333.415,2818,1min
